Question,Answer
What does the regulation aim to promote regarding artificial intelligence?,The regulation aims to promote a human-centric trustworthy and European approach to AI supporting innovation SMEs and startups while guaranteeing protection of fundamental rights health safety democracy the environment and the rule of law.
Who are the beneficiaries of protection under the regulation?,The regulation guarantees protection for natural persons undertakings and the broader public interest covering fundamental rights health safety employment democracy and the environment.
Where does the regulation apply in the lifecycle of AI systems?,The regulation applies to the development putting into service placing on the market and use of AI systems including high-risk biometric categorisation remote biometric identification and risk-assessment systems for natural persons.
How does the regulation relate to national rules concerning AI safety?,While national rules guarantee AI safety and trustworthy AI the regulation establishes a uniform legal framework that is not affected by those national obligations ensuring consistent protection across the Union.
What is the connection between the harmonised rules and high-risk AI systems?,The harmonised rules specifically apply to high-risk AI systems ensuring they meet consistent requirements across sectors and enabling effective implementation and placement on the market.
How does the regulation interact with the European Data Protection Board?,The regulation includes a provision to consult the European Data Protection Board linking AI governance with data-protection oversight.
Why does the regulation seek to prevent member states from imposing restrictions on AI development marketing or use?,By preventing such restrictions the regulation aims to maintain a single internal market avoid fragmentation and ensure free movement of AI-based goods and services throughout the EU.
Why are diverging national rules considered a problem for the internal market?,Diverging national rules lead to fragmentation and decrease legal certainty for operators which undermines the smooth functioning of the internal market that the regulation intends to improve.
Why is the regulation not affected by obligations of providers deployers or national labour law?,The regulation is designed to be independent of those obligations so that its uniform framework can operate without being altered by varying national labour or social-policy rules preserving consistency across the Union.
How does the regulation establish obligations for AI providers?,The regulation contains explicit rules on the protection of individuals and sets out obligations that providers must follow independent of other national obligations.
How are uniform legal frameworks applied to the placing on the market of AI systems?,The regulation lays down a uniform legal framework that applies to the placing on the market ensuring that all AI systems meet the same harmonised requirements before they can be offered to users.
How does the regulation enable the exercise of data subjects' rights?,Harmonised rules enable the exercise of data subjects' rights by aligning with existing EU regulations (e.g. Regulation (EU) 2019/1020) and ensuring that AI systems respect data-protection standards.
How does the regulation's support for SMEs differ from its support for startups?,Both SMEs and startups receive support but the regulation explicitly mentions support SMEs and support startups as separate items indicating tailored measures for each group while sharing the common goal of fostering innovation.
In what ways are the harmonised rules consistent with Regulation (EC) No 765/2008 and Decision No 768/2008/EC?,The harmonised rules are described as consistent with both Regulation (EC) No 765/2008 and Decision No 768/2008/EC meaning they align with the conformity-assessment and market-surveillance frameworks established by those instruments.
How does the regulation's guarantee of protection of fundamental rights compare to national rules' guarantee of AI being trustworthy?,The regulation guarantees protection of fundamental rights at the Union level while national rules guarantee that AI is trustworthy; together they create a layered protection where national safeguards complement the EU-wide rights guarantees.
Give an example of an AI system that the regulation applies to because it performs biometric categorisation.,The regulation applies to AI systems for biometric categorisation including remote biometric identification systems which are explicitly listed as covered.
Provide an example of a sector where the harmonised rules apply across sectors.,The harmonised rules apply across sectors to high-risk AI systems meaning they cover any industry—such as healthcare transport or finance—where such systems are deployed.
